id,artist_name,album_name,releaseDate,duration_ms_x,explicit,is_local,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams
1pF74yw15wXk12A1NPVWHD,Trippie Redd,LIFE'S A TRIP,17753,283320,TRUE,FALSE,BANG!,72,0.259,0.715,0.529,7.48E-06,11,0.128,-9.019,0,0.0507,148.037,4,0.467,2654951
2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,Speak Your Mind (Deluxe),17648,186986,FALSE,FALSE,2002,83,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,4665771
2c3qwFINQyRGwyqI97UQiA,Trippie Redd,LIFE'S A TRIP,17753,237983,TRUE,FALSE,Forever Ever,63,0.388,0.689,0.426,0,0,0.129,-9.449,0,0.0368,90.049,4,0.411,2597923
2D1MK9oaxy7axXggy3iVbp,Nicki Minaj,Queen,17753,192600,TRUE,FALSE,Rich Sex (feat. Lil Wayne),64,0.0517,0.879,0.635,0,9,0.0786,-5.098,1,0.258,146.972,4,0.568,2347231
2uIX8YMNjGMD7441kqyyNU,Billie Eilish,Ocean Eyes,17123,200560,FALSE,FALSE,ocean eyes,70,0.819,0.475,0.37,0.0577,4,0.0841,-7.725,0,0.0361,144.828,4,0.157,34702147
33tNYw9oMtSkGe27NpgS64,Quavo,W O R K I N M E,17753,169620,TRUE,FALSE,WORKIN ME,74,0.182,0.79,0.629,7.06E-06,8,0.338,-4.055,1,0.142,170.023,4,0.267,27609188
384Oc8MQzITdL2DGyCeivN,Gucci Mane,Kept Back (feat. Lil Pump),17752,177651,TRUE,FALSE,Kept Back (feat. Lil Pump) - Bonus Track,65,0.0713,0.907,0.637,0,10,0.0816,-5.498,1,0.117,130.012,4,0.496,1856576
38TgLPNHsPzgqri5G4SPun,Nicki Minaj,Queen,17753,295653,TRUE,FALSE,Majesty (with Labrinth & feat. Eminem),66,0.313,0.81,0.73,0,11,0.105,-5.209,0,0.223,157.003,4,0.568,2424879
3GOZyiebYv432EnVy9XwzE,Trippie Redd,LIFE'S A TRIP,17753,120550,TRUE,FALSE,Oomps Revenge,57,0.103,0.579,0.587,0,9,0.112,-8.383,0,0.355,85.732,4,0.705,1530937
3L4GsGLgxpHieVQH86H8bv,Nicki Minaj,Queen,17753,189533,TRUE,FALSE,Bed (feat. Ariana Grande),74,0.0348,0.757,0.73,6.17E-05,7,0.136,-6.304,1,0.187,90.013,4,0.451,6175905
3LHYmz86DxGInsRp3wiiW5,Nicki Minaj,Queen,17753,294186,TRUE,FALSE,Ganja Burn,58,0.161,0.755,0.902,0.00199,1,0.137,-2.835,0,0.0632,108.992,4,0.76,2013311
3nmfktGzQJe0B77Ilcce1o,Quavo,L A M B T A L K,17753,172440,TRUE,FALSE,LAMB TALK,62,0.14,0.911,0.597,0,11,0.116,-6.517,0,0.273,142.036,4,0.315,3110525
4apiNNK0jp9uqn3JDG9My1,Trippie Redd,LIFE'S A TRIP,17753,256162,TRUE,FALSE,Dark Knight Dummo,66,0.167,0.28,0.821,0,8,0.139,-2.864,0,0.111,181.444,3,0.254,12157901
4CWgevZ4xGjy6o5qMPgYR0,Trippie Redd,LIFE'S A TRIP,17753,162626,TRUE,FALSE,Gore,59,0.00186,0.614,0.66,0,9,0.228,-6.016,1,0.0397,141.961,4,0.146,1684640
4mHgYpuGHu99Mw69E83CP2,Trippie Redd,LIFE'S A TRIP,17753,121680,TRUE,FALSE,Taking A Walk,76,0.68,0.767,0.538,0,0,0.192,-6.044,0,0.052,81.031,4,0.343,54892730
4QVS8YCpK71R4FsxSMCjhP,Gryffin,Tie Me Down (with Elley Duhé),17746,218295,FALSE,FALSE,Tie Me Down (with Elley Duhé),74,0.135,0.548,0.839,0,6,0.102,-2.371,1,0.0644,98.932,4,0.314,12929517
5a8RPWgKSmcGBGcffmIrUi,Sia,Thunderclouds,17752,187026,FALSE,FALSE,Thunderclouds,33,0.0085,0.691,0.716,9.06E-06,7,0.263,-5.985,1,0.0351,112.035,4,0.507,25018016
5FTrzXtDMz3adIbLmVShk4,Trippie Redd,LIFE'S A TRIP,17753,164334,TRUE,FALSE,UKA UKA,60,0.135,0.722,0.868,0,11,0.101,-5.34,0,0.16,87.011,4,0.671,1732699
5HnxL39pSgVVQMLP7WnSfv,Trippie Redd,LIFE'S A TRIP,17753,146923,TRUE,FALSE,Missing My Idols,65,0.0598,0.706,0.637,0,8,0.164,-7.284,0,0.37,85.819,4,0.528,4397707
5vAEnWrHxLv78uwZrAJcX6,Nicki Minaj,Queen,17753,198280,TRUE,FALSE,Thought I Knew You (feat. The Weeknd),56,0.0373,0.77,0.715,0.00172,1,0.0959,-5.92,1,0.0449,150.024,4,0.468,1832291
5vDvBD3ReINP8dXUplj477,Flipp Dinero,Leave Me Alone,17604,195637,TRUE,FALSE,Leave Me Alone,14,0.107,0.792,0.743,0,7,0.183,-2.806,1,0.0851,150.024,4,0.742,5010161
6fYkv8bGKiZl4Y3LYrFfAZ,Florida Georgia Line,Florida Georgia Line,17718,185200,FALSE,FALSE,Simple,3,0.0848,0.375,0.889,0,3,0.136,-3.704,1,0.0991,199.669,4,0.881,3897305
6IpvkngH89cA3hhPC84Leg,Diplo,LIFE'S A TRIP,17753,176874,TRUE,FALSE,Wish - Trippie Mix,66,0.232,0.561,0.832,0,9,0.107,-7.661,1,0.0717,93.991,4,0.666,2375507
6m3LlhdZ0HWn4D7Nnm06MQ,Trippie Redd,LIFE'S A TRIP,17753,164576,TRUE,FALSE,Together,64,0.893,0.615,0.444,8.06E-06,8,0.127,-6.773,0,0.0282,120.098,4,0.125,2427697
